,Station,Latitude,Longitude
0,Abbey Road,51.5319519867171,0.00372337109717115
1,Abbey Wood,51.490784095703106,0.120271969782359
2,Acton Central,51.5087577801896,-0.263430199363473
3,Acton Main Line,51.5168869310483,-0.267689952184077
4,Acton Town,51.503071442963495,-0.28030270140601
5,Addington Village,51.356238590430095,-0.032665100391443
6,Addiscombe,51.379808289594095,-0.0732132828267587
7,Albany Park,51.435815606227706,0.126444637772442
8,Aldgate,51.5143423787415,-0.0756269126501567
9,Aldgate East,51.5150816226404,-0.0730014627258136
10,Alexandra Palace,51.59826282264971,-0.12014897219453599
11,All Saints,51.5104769244406,-0.0126248853684833
12,Alperton,51.5412092743614,-0.299515758699207
13,Amersham,51.6741293179421,-0.6065137893557739
14,Ampere Way,51.382299420009005,-0.123636799345144
15,Anerley,51.412516717902406,-0.0651371001212532
16,Angel,51.53296801568911,-0.10558144894639801
17,Angel Road,51.61242031959001,-0.0487329193735463
18,Archway,51.5654905340774,-0.135121576677549
19,Arena,51.391522751976794,-0.0583185500805117
20,Arnos Grove,51.616230141680205,-0.134270218764562
21,Arsenal,51.5585413757193,-0.105499933602789
22,Avenue Road,51.40679798274421,-0.0494469371121275
23,Baker Street,51.5231296204391,-0.15690419441262
24,Balham,51.443182562032604,-0.152685163343656
25,Bank,51.513347062296,-0.0890001239496697
26,Banstead,51.3292931229522,-0.213132336180543
27,Barbican,51.5202152835411,-0.0977215786403087
28,Barking,51.539521113341294,0.0808316100128655
29,Barkingside,51.5858506139378,0.0884766396392107
30,Barnehurst,51.4647802868859,0.160948022415047
31,Barnes,51.4671277727085,-0.242033062031602
32,Barnes Bridge,51.472228052683704,-0.25236261703581697
33,Barons Court,51.4902286819759,-0.213430145064537
34,Battersea Park,51.477318323121004,-0.14812376166319502
35,Bayswater,51.5121112883667,-0.18790157392744103
36,Beckenham Hill,51.424626057957,-0.0164957619832815
37,Beckenham Junction,51.410941641376105,-0.0257017391507886
38,Beckenham Road,51.4095297483599,-0.043391922075085
39,Beckton,51.51437662955401,0.0615252969323279
40,Beckton Park,51.50890079371221,0.0548219388642393
41,Becontree,51.5395854092624,0.12688029173904
42,Beddington Lane,51.3892398819207,-0.142138434359917
43,Belgrave Walk,51.40096164639049,-0.17849647405351798
44,Bellingham,51.4338648934564,-0.0204117703162584
45,Belmont,51.34411992456489,-0.19948925318398603
46,Belsize Park,51.5501908776835,-0.163974492584094
47,Belvedere,51.491959003102,0.15203379192465197
48,Bermondsey,51.4979607802573,-0.0643300900477039
49,Berrylands,51.398768406045896,-0.28032147745849295
50,Bethnal Green,51.527191741204994,-0.0553921116245381
51,Bethnal Green Rail,51.5242827393666,-0.0600137426043104
52,Bexley,51.4408145305372,0.148203912973033
53,Bexleyheath,51.4635499575874,0.13336296501856
54,Bickley,51.4003795691873,0.0443040315807173
55,Birkbeck,51.4038630943054,-0.0562862357203351
56,Blackfriars,51.5115869277802,-0.10299538523578698
57,Blackheath,51.4654080109124,0.008336594707660391
58,Blackhorse Lane,51.3847461833949,-0.0705339478990595
59,Blackhorse Road,51.5857766270677,-0.0396257115532134
60,Blackwall,51.5078315405334,-0.007235165880044379
61,Bond Street,51.51379752478379,-0.14961360982794597
62,Borough,51.50104886940699,-0.0941973231491299
63,Boston Manor,51.4957655352965,-0.32474718876578806
64,Bounds Green,51.607031921240704,-0.124177065625754
65,Bow Church,51.527615203652,-0.0204998991998037
66,Bow Road,51.5270418067574,-0.0243595906651091
67,Bowes Park,51.6072495146955,-0.119792219172905
68,Brent Cross,51.576599215060604,-0.21333584051056304
69,Brentford,51.48753630712871,-0.30962253669470297
70,Brentwood,51.6136103366992,0.29967281617211794
71,Brimsdown,51.655244614441,-0.0310922769446394
72,Brixton,51.4627368020741,-0.11455209758661801
73,Brockley,51.4647496625814,-0.0377482505476242
74,Bromley North,51.4089423111557,0.0172354519396871
75,Bromley South,51.400001288709,0.017359580478029
76,Bromley-by-Bow,51.524840200182105,-0.0116823743599265
77,Brondesbury,51.5452623623785,-0.20283848573229102
78,Brondesbury Park,51.540325365754605,-0.21047394668161298
79,Broxbourne,51.74701556808889,-0.0110240837883153
80,Bruce Grove,51.5940112462336,-0.0703989896457386
81,Buckhurst Hill,51.626576660928,0.0467125412965725
82,Burnt Oak,51.6025519118101,-0.264330712266273
83,Bush Hill Park,51.6414819592655,-0.0692804125005405
84,Bushey,51.6455441595026,-0.384721541354714
85,Caledonian Road,51.547885441027496,-0.118360861873635
86,Caledonian Road and Barnsbury,51.5432845754194,-0.11520485671489998
87,Cambridge Heath,51.5320597642081,-0.0572032008235444
88,Camden Road,51.541851234203605,-0.13920311252229198
89,Camden Town,51.539969352277005,-0.142452381051009
90,Canada Water,51.4981684118441,-0.0508071209954049
91,Canary Wharf,51.5035784043688,-0.0194668401596637
92,Canning Town,51.513870287242,0.00830563274393741
93,Cannon Street,51.5113620889071,-0.0902505268833338
94,Canonbury,51.548188385177,-0.0925741958211209
95,Canons Park,51.60765056954779,-0.29439159654004604
96,Carpenders Park,51.628186717588605,-0.385829323805549
97,Carshalton,51.368426365724,-0.16639832800089802
98,Carshalton Beeches,51.3573868407117,-0.169496326135296
99,Castle Bar Park,51.5229736652832,-0.331504076340438
100,Caterham,51.28216282260679,-0.0786072985674413
101,Catford,51.4442649120205,-0.0265384985954206
102,Catford Bridge,51.4446946250561,-0.0248218759437963
103,Centrale,51.375767467771595,-0.103888103843675
104,Chadwell Heath,51.5680468782263,0.128901111583164
105,Chafford Hundred,51.4855544959176,0.28747570068245
106,Chalfont and Latimer,51.66790747919949,-0.56106777731917
107,Chalk Farm,51.5441490864876,-0.153733070875137
108,Chancery Lane,51.518494016584704,-0.11196202748568902
109,Charing Cross,51.5083586300048,-0.124802938133095
110,Charlton,51.4868349882394,0.0309416448024295
111,Cheam,51.3554602429281,-0.214211283594169
112,Chelsfield,51.35626458259149,0.10898411971124199
113,Chesham,51.705380020677296,-0.6114296571259019
114,Cheshunt,51.7028733147507,-0.0238874154607898
115,Chessington North,51.3642434424783,-0.30047612885525105
116,Chessington South,51.3567045306375,-0.307089020685885
117,Chigwell,51.6178578723834,0.0761792150052964
118,Chingford,51.633253373648,0.00951432552467428
119,Chipstead,51.30927498217871,-0.169445869499599
120,Chislehurst,51.4055984084067,0.0574918214487956
121,Chiswick,51.4807814945228,-0.267013321856982
122,Chiswick Park,51.4943707139869,-0.26773692216360995
123,Chorleywood,51.6542659264231,-0.518333926536853
124,Church Street,51.373706561892995,-0.10434682889571101
125,City Thameslink,51.5139350677627,-0.10361844917156099
126,Clapham Common,51.461803669852294,-0.13831490249485098
127,Clapham High Street,51.4654695136715,-0.132464502577436
128,Clapham Junction,51.4643667842754,-0.170315002226266
129,Clapham North,51.464916214992506,-0.12991006289038198
130,Clapham South,51.4526764891153,-0.147984069598376
131,Clapton,51.5615690879152,-0.0574894584530427
132,Clock House,51.4085405609855,-0.0407020925904992
133,Cockfosters,51.6520244788699,-0.149916711073587
134,Colindale,51.5952305160491,-0.250287543714841
135,Colliers Wood,51.41875918776179,-0.177415099875595
136,Coombe Lane,51.3597893094901,-0.0595315713236646
137,Coulsdon South,51.315800944170704,-0.137903090283073
138,Coulsdon Town,51.322452953247996,-0.134347057284217
139,Covent Garden,51.512760234858206,-0.12450689463272302
140,Crayford,51.448546757006,0.17850271627803999
141,Crews Hill,51.6844746109419,-0.10684410075744
142,Cricklewood,51.5584226684923,-0.21254793410145897
143,Crofton Park,51.4551792922913,-0.036546581839275
