,origin_station,destination_station,AMpeak_trips,PMpeak_trips,o_lat,o_lon,d_lat,d_lon
0,Acton Town,Alperton,44,93,51.503071442963495,-0.28030270140601,51.5412092743614,-0.299515758699207
1,Amersham,Alperton,52,0,51.6741293179421,-0.6065137893557739,51.5412092743614,-0.299515758699207
2,Angel,Alperton,0,35,51.53296801568911,-0.10558144894639801,51.5412092743614,-0.299515758699207
3,Arsenal,Alperton,18,0,51.5585413757193,-0.105499933602789,51.5412092743614,-0.299515758699207
4,Barons Court,Alperton,0,7,51.4902286819759,-0.213430145064537,51.5412092743614,-0.299515758699207
5,Blackfriars,Alperton,0,40,51.5115869277802,-0.10299538523578698,51.5412092743614,-0.299515758699207
6,Blackhorse Road,Alperton,5,0,51.5857766270677,-0.0396257115532134,51.5412092743614,-0.299515758699207
7,Charing Cross,Alperton,11,0,51.5083586300048,-0.124802938133095,51.5412092743614,-0.299515758699207
8,Chiswick Park,Alperton,19,0,51.4943707139869,-0.26773692216360995,51.5412092743614,-0.299515758699207
9,Ealing Broadway,Alperton,1,43,51.514861974896405,-0.302010381444888,51.5412092743614,-0.299515758699207
10,Ealing Common,Alperton,23,1,51.5102486557265,-0.28715141790547805,51.5412092743614,-0.299515758699207
11,Eastcote,Alperton,9,13,51.576551823245,-0.39682329933106103,51.5412092743614,-0.299515758699207
12,Golders Green,Alperton,0,14,51.57221553323521,-0.194834559142163,51.5412092743614,-0.299515758699207
13,Green Park,Alperton,0,62,51.506760484493896,-0.14247757559748198,51.5412092743614,-0.299515758699207
14,Harrow-on-the-Hill,Alperton,0,20,51.5793881186851,-0.33700151732302597,51.5412092743614,-0.299515758699207
15,Hatton Cross,Alperton,4,44,51.466685304207,-0.42338056342404795,51.5412092743614,-0.299515758699207
16,Heathrow Terminal 4,Alperton,9,0,51.4597804296919,-0.447729589959589,51.5412092743614,-0.299515758699207
17,Hillingdon,Alperton,2,0,51.55377751590571,-0.449897993430179,51.5412092743614,-0.299515758699207
18,Holborn,Alperton,5,83,51.51723573506929,-0.11984050743238,51.5412092743614,-0.299515758699207
19,Hounslow Central,Alperton,18,90,51.470925765892105,-0.36595812917284204,51.5412092743614,-0.299515758699207
20,Hounslow East,Alperton,10,20,51.47370789438,-0.35527532185487004,51.5412092743614,-0.299515758699207
21,Knightsbridge,Alperton,6,0,51.5013548976071,-0.16066448611880801,51.5412092743614,-0.299515758699207
22,Ladbroke Grove,Alperton,0,17,51.5172106734536,-0.210198172458574,51.5412092743614,-0.299515758699207
23,London Bridge,Alperton,9,0,51.5046743475629,-0.0860055981730393,51.5412092743614,-0.299515758699207
24,Manor House,Alperton,39,0,51.570747140220206,-0.0956849762588548,51.5412092743614,-0.299515758699207
25,Moorgate,Alperton,110,0,51.5184371390077,-0.0890176878750945,51.5412092743614,-0.299515758699207
26,North Ealing,Alperton,13,13,51.5176222888529,-0.288993552615282,51.5412092743614,-0.299515758699207
27,Northwood,Alperton,22,0,51.611213610715,-0.423837786672373,51.5412092743614,-0.299515758699207
28,Osterley,Alperton,0,37,51.4812168100862,-0.35209609607353903,51.5412092743614,-0.299515758699207
29,Oxford Circus,Alperton,0,33,51.5152234024753,-0.140836171281216,51.5412092743614,-0.299515758699207
30,Park Royal,Alperton,0,103,51.5268340201739,-0.28492891769302303,51.5412092743614,-0.299515758699207
31,Parsons Green,Alperton,0,11,51.474960152611295,-0.20112449236141197,51.5412092743614,-0.299515758699207
32,Pimlico,Alperton,0,56,51.4895528621095,-0.13310825841606,51.5412092743614,-0.299515758699207
33,Ravenscourt Park,Alperton,1,0,51.4940679805396,-0.235969233097656,51.5412092743614,-0.299515758699207
34,Rayners Lane,Alperton,108,51,51.5753967323171,-0.3710608137742671,51.5412092743614,-0.299515758699207
35,Richmond,Alperton,0,67,51.4632328858425,-0.30173913400666696,51.5412092743614,-0.299515758699207
36,Rickmansworth,Alperton,0,11,51.6403230144667,-0.473684584103803,51.5412092743614,-0.299515758699207
