,origin_station,destination_station,AMpeak_trips,PMpeak_trips,o_lat,o_lon,d_lat,d_lon,id
0,Acton Town,Alperton,44,93,519457,179639,518025,183849,1
1,Amersham,Alperton,52,0,496454,198181,518025,183849,2
2,Angel,Alperton,0,35,531497,183263,518025,183849,3
3,Arsenal,Alperton,18,0,531429,186107,518025,183849,4
4,Barons Court,Alperton,0,7,524133,178322,518025,183849,5
5,Blackfriars,Alperton,0,40,531738,180890,518025,183849,6
6,Blackhorse Road,Alperton,5,0,535914,189256,518025,183849,7
7,Charing Cross,Alperton,11,0,530234,180492,518025,183849,8
8,Chiswick Park,Alperton,19,0,520352,178692,518025,183849,9
9,Ealing Broadway,Alperton,1,43,517920,180915,518025,183849,10
10,Ealing Common,Alperton,23,1,518963,180426,518025,183849,11
11,Eastcote,Alperton,9,13,511191,187627,518025,183849,12
12,Golders Green,Alperton,0,14,525199,187471,518025,183849,13
13,Green Park,Alperton,0,62,529012,180283,518025,183849,14
14,Harrow-on-the-Hill,Alperton,0,20,515329,188035,518025,183849,15
15,Hatton Cross,Alperton,4,44,509614,175369,518025,183849,16
16,Heathrow Terminal 4,Alperton,9,0,507939,174565,518025,183849,17
17,Hillingdon,Alperton,2,0,507567,185015,518025,183849,18
18,Holborn,Alperton,5,83,530553,181488,518025,183849,19
19,Hounslow Central,Alperton,18,90,513592,175928,518025,183849,20
20,Hounslow East,Alperton,10,20,514327,176254,518025,183849,21
21,Knightsbridge,Alperton,6,0,527765,179650,518025,183849,22
22,Ladbroke Grove,Alperton,0,17,524284,181328,518025,183849,23
23,London Bridge,Alperton,9,0,532937,180152,518025,183849,24
24,Manor House,Alperton,39,0,532074,187482,518025,183849,25
25,Moorgate,Alperton,110,0,532688,181677,518025,183849,26
26,North Ealing,Alperton,13,13,518816,181243,518025,183849,27
27,Northwood,Alperton,22,0,509236,191441,518025,183849,28
28,Osterley,Alperton,0,37,514529,177094,518025,183849,29
29,Oxford Circus,Alperton,0,33,529102,181227,518025,183849,30
30,Park Royal,Alperton,0,103,519074,182274,518025,183849,31
31,Parsons Green,Alperton,0,11,525029,176645,518025,183849,32
32,Pimlico,Alperton,0,56,529711,178386,518025,183849,33
33,Ravenscourt Park,Alperton,1,0,522558,178711,518025,183849,34
34,Rayners Lane,Alperton,108,51,512979,187538,518025,183849,35
35,Richmond,Alperton,0,67,518072,175174,518025,183849,36
36,Rickmansworth,Alperton,0,11,505717,194605,518025,183849,37
37,Ruislip,Alperton,34,0,509510,187102,518025,183849,38
38,Ruislip Manor,Alperton,0,23,510088,187258,518025,183849,39
39,Sloane Square,Alperton,0,12,528080,178657,518025,183849,40
40,South Harrow,Alperton,39,109,514334,186376,518025,183849,41
41,South Kensington,Alperton,0,94,526865,178817,518025,183849,42
42,Sudbury Hill,Alperton,6,7,515427,185584,518025,183849,43
43,Sudbury Town,Alperton,8,4,516832,184955,518025,183849,44
44,Temple,Alperton,1,0,530995,180810,518025,183849,45
45,Tower Hill,Alperton,3,0,533566,180805,518025,183849,46
46,Turnham Green,Alperton,0,15,521267,178804,518025,183849,47
47,Uxbridge,Alperton,17,84,505698,184161,518025,183849,48
48,Vauxhall,Alperton,5,0,530366,177978,518025,183849,49
49,Victoria,Alperton,6,2,528941,179131,518025,183849,50
50,Walthamstow Central,Alperton,30,0,537286,188986,518025,183849,51
51,Warren Street,Alperton,2,0,529253,182272,518025,183849,52
52,West Harrow,Alperton,16,0,514163,187957,518025,183849,53
53,West Kensington,Alperton,0,54,524635,178321,518025,183849,54
54,Westminster,Alperton,2,0,530240,179718,518025,183849,55
55,Wimbledon,Alperton,1,10,524791,170647,518025,183849,56
56,Wimbledon Park,Alperton,1,0,525274,172158,518025,183849,57
57,Wood Green,Alperton,0,26,531038,190427,518025,183849,58
58,Acton Town,Amersham,0,20,519457,179639,496454,198181,59
59,Aldgate,Amersham,0,2,533629,181246,496454,198181,60
60,Bermondsey,Amersham,9,0,534461,179445,496454,198181,61
61,Blackfriars,Amersham,0,2,531738,180890,496454,198181,62
62,Bond Street,Amersham,0,2,528497,181053,496454,198181,63
63,Caledonian Road,Amersham,2,0,530568,184899,496454,198181,64
64,Chancery Lane,Amersham,0,4,531096,181642,496454,198181,65
65,Charing Cross,Amersham,11,49,530234,180492,496454,198181,66
66,Chesham,Amersham,10,0,496048,201650,496454,198181,67
67,Chorleywood,Amersham,6,0,502596,196092,496454,198181,68
68,Covent Garden,Amersham,0,13,530242,180982,496454,198181,69
69,Croxley,Amersham,1,0,507921,195395,496454,198181,70
70,Ealing Common,Amersham,3,1,518963,180426,496454,198181,71
71,Euston Square,Amersham,0,2,529587,182735,496454,198181,72
72,Farringdon,Amersham,31,0,531585,181844,496454,198181,73
73,Finchley Road,Amersham,1,5,526293,184703,496454,198181,74
74,Great Portland Street,Amersham,0,2,528861,182174,496454,198181,75
75,Harrow-on-the-Hill,Amersham,7,0,515329,188035,496454,198181,76
76,Holborn,Amersham,0,39,530553,181488,496454,198181,77
77,Kingsbury,Amersham,0,9,519361,188739,496454,198181,78
78,Ladbroke Grove,Amersham,1,0,524284,181328,496454,198181,79
79,Lambeth North,Amersham,0,4,531165,179489,496454,198181,80
80,London Bridge,Amersham,0,13,532937,180152,496454,198181,81
81,Moor Park,Amersham,6,0,508563,193509,496454,198181,82
82,North Wembley,Amersham,18,0,517663,186198,496454,198181,83
83,Northwood,Amersham,0,1,509236,191441,496454,198181,84
84,Oxford Circus,Amersham,0,14,529102,181227,496454,198181,85
85,Piccadilly Circus,Amersham,0,56,529612,180625,496454,198181,86
86,Pinner,Amersham,25,0,512233,189409,496454,198181,87
87,Preston Road,Amersham,0,2,518260,187292,496454,198181,88
88,Rayners Lane,Amersham,7,0,512979,187538,496454,198181,89
89,Rickmansworth,Amersham,25,0,505717,194605,496454,198181,90
90,Russell Square,Amersham,0,2,530207,182122,496454,198181,91
91,Southwark,Amersham,0,27,531566,180025,496454,198181,92
92,Tottenham Court Road,Amersham,0,23,529774,181354,496454,198181,93
93,Uxbridge,Amersham,5,0,505698,184161,496454,198181,94
94,Vauxhall,Amersham,0,5,530366,177978,496454,198181,95
95,Victoria,Amersham,0,24,528941,179131,496454,198181,96
96,Westminster,Amersham,4,1,530240,179718,496454,198181,97
97,White City,Amersham,0,261,523296,180750,496454,198181,98
98,Acton Town,Angel,13,0,519457,179639,531497,183263,99
99,Aldgate,Angel,14,30,533629,181246,531497,183263,100
100,Aldgate East,Angel,39,87,533809,181333,531497,183263,101
101,Amersham,Angel,14,0,496454,198181,531497,183263,102
102,Archway,Angel,158,106,529356,186827,531497,183263,103
103,Arnos Grove,Angel,0,52,529271,192471,531497,183263,104
104,Arsenal,Angel,2,0,531429,186107,531497,183263,105
105,Baker Street,Angel,29,293,527965,182078,531497,183263,106
106,Balham,Angel,99,0,528482,173195,531497,183263,107
107,Barking,Angel,153,0,544405,184343,531497,183263,108
108,Barons Court,Angel,38,0,524133,178322,531497,183263,109
109,Becontree,Angel,13,44,547598,184442,531497,183263,110
110,Belsize Park,Angel,73,170,527399,185075,531497,183263,111
111,Bermondsey,Angel,61,30,534461,179445,531497,183263,112
112,Bethnal Green,Angel,39,0,534995,182712,531497,183263,113
113,Blackhorse Road,Angel,15,0,535914,189256,531497,183263,114
114,Bond Street,Angel,5,49,528497,181053,531497,183263,115
115,Borough,Angel,78,91,532379,179734,531497,183263,116
116,Boston Manor,Angel,10,0,516391,178755,531497,183263,117
117,Bounds Green,Angel,85,0,529996,191466,531497,183263,118
118,Bow Road,Angel,54,5,537148,182753,531497,183263,119
119,Brent Cross,Angel,30,10,523905,187927,531497,183263,120
120,Brixton,Angel,164,43,531076,175437,531497,183263,121
121,Buckhurst Hill,Angel,23,0,541768,193957,531497,183263,122
122,Burnt Oak,Angel,45,0,520303,190728,531497,183263,123
123,Caledonian Road,Angel,23,0,530568,184899,531497,183263,124
124,Camden Town,Angel,79,163,528920,183976,531497,183263,125
125,Canada Water,Angel,284,46,535399,179493,531497,183263,126
126,Canary Wharf,Angel,29,196,537558,180153,531497,183263,127
127,Canning Town,Angel,188,37,539454,181350,531497,183263,128
128,Cannon Street,Angel,28,0,532623,180888,531497,183263,129
129,Canons Park,Angel,14,0,518208,191246,531497,183263,130
130,Chalk Farm,Angel,18,44,528126,184421,531497,183263,131
131,Charing Cross,Angel,0,59,530234,180492,531497,183263,132
132,Chigwell,Angel,1,0,543835,193045,531497,183263,133
133,Chiswick Park,Angel,2,0,520352,178692,531497,183263,134
134,Clapham Common,Angel,23,53,529428,175291,531497,183263,135
135,Clapham North,Angel,31,5,530003,175652,531497,183263,136
136,Clapham South,Angel,156,1,528782,174259,531497,183263,137
137,Colindale,Angel,138,2,521295,189937,531497,183263,138
138,Colliers Wood,Angel,133,0,526831,170436,531497,183263,139
139,Covent Garden,Angel,3,51,530242,180982,531497,183263,140
140,Dagenham East,Angel,9,0,550284,185033,531497,183263,141
141,Dagenham Heathway,Angel,13,0,549035,184665,531497,183263,142
142,Ealing Broadway,Angel,0,2,517920,180915,531497,183263,143
143,Ealing Common,Angel,8,0,518963,180426,531497,183263,144
144,East Finchley,Angel,93,20,527242,189204,531497,183263,145
145,East Ham,Angel,18,0,542373,184255,531497,183263,146
146,East Putney,Angel,21,38,524387,174840,531497,183263,147
147,Eastcote,Angel,6,0,511191,187627,531497,183263,148
148,Edgware,Angel,88,0,519527,192009,531497,183263,149
149,Elm Park,Angel,78,0,552446,185647,531497,183263,150
150,Embankment,Angel,0,55,530406,180380,531497,183263,151
151,Epping,Angel,1,0,546197,201552,531497,183263,152
152,Euston,Angel,149,37,529587,182735,531497,183263,153
153,Euston Square,Angel,0,18,529587,182735,531497,183263,154
154,Fairlop,Angel,1,0,544902,190655,531497,183263,155
155,Farringdon,Angel,0,51,531585,181844,531497,183263,156
156,Finchley Central,Angel,197,0,525232,190664,531497,183263,157
157,Finchley Road,Angel,13,13,526293,184703,531497,183263,158
158,Finsbury Park,Angel,9,0,531385,186784,531497,183263,159
159,Fulham Broadway,Angel,44,0,525402,177244,531497,183263,160
160,Gants Hill,Angel,16,1,543266,188432,531497,183263,161
161,Gloucester Road,Angel,23,29,526196,178848,531497,183263,162
162,Golders Green,Angel,228,16,525199,187471,531497,183263,163
163,Goldhawk Road,Angel,15,4,523131,179616,531497,183263,164
164,Goodge Street,Angel,2,90,529505,181837,531497,183263,165
165,Great Portland Street,Angel,0,4,528861,182174,531497,183263,166
166,Green Park,Angel,11,76,529012,180283,531497,183263,167
167,Hampstead,Angel,41,2,526408,185757,531497,183263,168
168,Hanger Lane,Angel,0,16,518506,182621,531497,183263,169
169,Harlesden,Angel,23,0,520952,183367,531497,183263,170
170,Harrow-on-the-Hill,Angel,20,0,515329,188035,531497,183263,171
171,Hendon Central,Angel,87,112,522959,188631,531497,183263,172
