origin_code,origin_station,destination_code,destination_station,AMpeak_trips,PMpeak_trips
500,Acton Town                    ,505,Alperton                      ,44,93
500,Acton Town                    ,506,Amersham                      ,0,20
500,Acton Town                    ,507,Angel                         ,13,0
500,Acton Town                    ,508,Archway                       ,0,0
500,Acton Town                    ,510,Arsenal                       ,0,17
500,Acton Town                    ,511,Baker Street                  ,15,0
500,Acton Town                    ,513,Bank / Monument               ,111,0
500,Acton Town                    ,501,Barbican                      ,9,0
500,Acton Town                    ,516,Barons Court                  ,25,0
500,Acton Town                    ,517,Bayswater                     ,0,11
500,Acton Town                    ,787,Bermondsey                    ,0,6
500,Acton Town                    ,521,Blackfriars                   ,43,0
500,Acton Town                    ,522,Blackhorse Road               ,0,0
500,Acton Town                    ,524,Bond Street                   ,0,0
500,Acton Town                    ,526,Boston Manor                  ,38,34
500,Acton Town                    ,527,Bounds Green                  ,0,0
500,Acton Town                    ,778,Brixton                       ,11,20
500,Acton Town                    ,534,Caledonian Road               ,12,0
500,Acton Town                    ,535,Camden Town                   ,0,5
500,Acton Town                    ,788,Canada Water                  ,0,0
500,Acton Town                    ,852,Canary Wharf                  ,49,0
500,Acton Town                    ,884,Canning Town                  ,53,0
500,Acton Town                    ,536,Cannon Street                 ,18,0
500,Acton Town                    ,541,Chancery Lane                 ,49,0
500,Acton Town                    ,718,Charing Cross                 ,5,0
500,Acton Town                    ,545,Chiswick Park                 ,0,0
500,Acton Town                    ,547,Clapham Common                ,0,0
500,Acton Town                    ,550,Cockfosters                   ,0,59
500,Acton Town                    ,553,Covent Garden                 ,45,42
500,Acton Town                    ,560,Ealing Broadway               ,24,24
500,Acton Town                    ,561,Ealing Common                 ,14,15
500,Acton Town                    ,562,Earl's Court                  ,134,0
500,Acton Town                    ,565,East Finchley                 ,0,0
500,Acton Town                    ,567,East Putney                   ,0,5
500,Acton Town                    ,568,Edgware                       ,3,0
500,Acton Town                    ,542,Embankment                    ,0,16
500,Acton Town                    ,572,Epping                        ,0,0
500,Acton Town                    ,574,Euston                        ,11,0
500,Acton Town                    ,577,Farringdon                    ,36,50
500,Acton Town                    ,580,Finsbury Park                 ,11,0
500,Acton Town                    ,581,Fulham Broadway               ,41,0
500,Acton Town                    ,582,Gants Hill                    ,0,0
500,Acton Town                    ,583,Gloucester Road               ,76,0
500,Acton Town                    ,585,Goldhawk Road                 ,0,0
500,Acton Town                    ,586,Goodge Street                 ,17,0
500,Acton Town                    ,587,Grange Hill                   ,0,0
500,Acton Town                    ,588,Great Portland Street         ,6,0
500,Acton Town                    ,590,Green Park                    ,93,34
500,Acton Town                    ,589,Greenford                     ,0,0
500,Acton Town                    ,593,Hammersmith (Dis)             ,399,146
500,Acton Town                    ,598,Harrow-on-the-Hill            ,0,0
500,Acton Town                    ,779,Hatton Cross                  ,7,0
500,Acton Town                    ,781,Heathrow Terminal 4           ,0,99
500,Acton Town                    ,783,Heathrow Terminal 5           ,0,0
500,Acton Town                    ,780,Heathrow Terminals 123        ,0,0
500,Acton Town                    ,601,Hendon Central                ,6,0
500,Acton Town                    ,605,High Street Kensington        ,0,0
500,Acton Town                    ,603,Highbury & Islington          ,0,0
500,Acton Town                    ,607,Holborn                       ,92,19
500,Acton Town                    ,611,Hounslow Central              ,67,165
500,Acton Town                    ,612,Hounslow East                 ,17,14
500,Acton Town                    ,613,Hounslow West                 ,40,0
