,origin_code,origin_station,destination_code,destination_station,AMpeak_trips,PMpeak_trips
0,500,Acton Town                    ,505,Alperton                      ,44,93
1,500,Acton Town                    ,506,Amersham                      ,0,20
2,500,Acton Town                    ,507,Angel                         ,13,0
4,500,Acton Town                    ,510,Arsenal                       ,0,17
5,500,Acton Town                    ,511,Baker Street                  ,15,0
6,500,Acton Town                    ,513,Bank / Monument               ,111,0
7,500,Acton Town                    ,501,Barbican                      ,9,0
8,500,Acton Town                    ,516,Barons Court                  ,25,0
9,500,Acton Town                    ,517,Bayswater                     ,0,11
10,500,Acton Town                    ,787,Bermondsey                    ,0,6
11,500,Acton Town                    ,521,Blackfriars                   ,43,0
14,500,Acton Town                    ,526,Boston Manor                  ,38,34
16,500,Acton Town                    ,778,Brixton                       ,11,20
17,500,Acton Town                    ,534,Caledonian Road               ,12,0
18,500,Acton Town                    ,535,Camden Town                   ,0,5
20,500,Acton Town                    ,852,Canary Wharf                  ,49,0
21,500,Acton Town                    ,884,Canning Town                  ,53,0
22,500,Acton Town                    ,536,Cannon Street                 ,18,0
23,500,Acton Town                    ,541,Chancery Lane                 ,49,0
24,500,Acton Town                    ,718,Charing Cross                 ,5,0
27,500,Acton Town                    ,550,Cockfosters                   ,0,59
28,500,Acton Town                    ,553,Covent Garden                 ,45,42
29,500,Acton Town                    ,560,Ealing Broadway               ,24,24
30,500,Acton Town                    ,561,Ealing Common                 ,14,15
31,500,Acton Town                    ,562,Earl's Court                  ,134,0
33,500,Acton Town                    ,567,East Putney                   ,0,5
34,500,Acton Town                    ,568,Edgware                       ,3,0
35,500,Acton Town                    ,542,Embankment                    ,0,16
37,500,Acton Town                    ,574,Euston                        ,11,0
38,500,Acton Town                    ,577,Farringdon                    ,36,50
39,500,Acton Town                    ,580,Finsbury Park                 ,11,0
40,500,Acton Town                    ,581,Fulham Broadway               ,41,0
42,500,Acton Town                    ,583,Gloucester Road               ,76,0
44,500,Acton Town                    ,586,Goodge Street                 ,17,0
46,500,Acton Town                    ,588,Great Portland Street         ,6,0
47,500,Acton Town                    ,590,Green Park                    ,93,34
49,500,Acton Town                    ,593,Hammersmith (Dis)             ,399,146
51,500,Acton Town                    ,779,Hatton Cross                  ,7,0
52,500,Acton Town                    ,781,Heathrow Terminal 4           ,0,99
55,500,Acton Town                    ,601,Hendon Central                ,6,0
58,500,Acton Town                    ,607,Holborn                       ,92,19
59,500,Acton Town                    ,611,Hounslow Central              ,67,165
60,500,Acton Town                    ,612,Hounslow East                 ,17,14
61,500,Acton Town                    ,613,Hounslow West                 ,40,0
62,500,Acton Town                    ,614,Hyde Park Corner              ,71,0
64,500,Acton Town                    ,616,Kennington                    ,3,3
65,500,Acton Town                    ,625,King's Cross St. Pancras      ,73,109
66,500,Acton Town                    ,626,Knightsbridge                 ,36,0
67,500,Acton Town                    ,631,Leicester Square              ,54,50
69,500,Acton Town                    ,634,Liverpool Street              ,90,103
70,500,Acton Town                    ,635,London Bridge                 ,47,24
71,500,Acton Town                    ,639,Mansion House                 ,38,3
73,500,Acton Town                    ,645,Moorgate                      ,16,117
74,500,Acton Town                    ,648,Mornington Crescent           ,6,0
75,500,Acton Town                    ,653,North Acton                   ,0,5
77,500,Acton Town                    ,789,North Greenwich               ,8,0
78,500,Acton Town                    ,655,Northfields                   ,196,32
81,500,Acton Town                    ,669,Oxford Circus                 ,48,0
82,500,Acton Town                    ,670,Paddington                    ,19,0
85,500,Acton Town                    ,674,Piccadilly Circus             ,94,58
86,500,Acton Town                    ,776,Pimlico                       ,21,0
87,500,Acton Town                    ,682,Ravenscourt Park              ,17,0
88,500,Acton Town                    ,683,Rayners Lane                  ,0,45
89,500,Acton Town                    ,685,Regent's Park                 ,9,0
90,500,Acton Town                    ,686,Richmond                      ,42,0
91,500,Acton Town                    ,687,Rickmansworth                 ,0,29
93,500,Acton Town                    ,691,Ruislip                       ,0,58
94,500,Acton Town                    ,694,Russell Square                ,34,0
96,500,Acton Town                    ,702,Sloane Square                 ,26,7
97,500,Acton Town                    ,704,South Ealing                  ,13,2
98,500,Acton Town                    ,707,South Harrow                  ,41,26
99,500,Acton Town                    ,708,South Kensington              ,137,35
100,500,Acton Town                    ,784,Southwark                     ,23,0
101,500,Acton Town                    ,695,St. James's Park              ,68,0
102,500,Acton Town                    ,697,St. Paul's                    ,0,4
105,500,Acton Town                    ,716,Stockwell                     ,4,12
106,500,Acton Town                    ,720,Sudbury Hill                  ,28,165
107,500,Acton Town                    ,723,Swiss Cottage                 ,5,0
108,500,Acton Town                    ,724,Temple                        ,12,0
109,500,Acton Town                    ,725,Theydon Bois                  ,4,0
110,500,Acton Town                    ,727,Tooting Broadway              ,0,15
111,500,Acton Town                    ,728,Tottenham Court Road          ,21,0
112,500,Acton Town                    ,729,Tottenham Hale                ,0,34
113,500,Acton Town                    ,731,Tower Hill                    ,29,0
114,500,Acton Town                    ,734,Turnham Green                 ,47,0
115,500,Acton Town                    ,740,Uxbridge                      ,0,56
116,500,Acton Town                    ,741,Victoria                      ,18,19
117,500,Acton Town                    ,742,Walthamstow Central           ,0,30
121,500,Acton Town                    ,755,West Brompton                 ,15,0
122,500,Acton Town                    ,760,West Kensington               ,74,0
123,500,Acton Town                    ,754,Westbourne Park               ,0,23
124,500,Acton Town                    ,761,Westminster                   ,24,0
126,500,Acton Town                    ,765,Willesden Green               ,0,4
127,500,Acton Town                    ,767,Wimbledon                     ,11,68
128,500,Acton Town                    ,768,Wimbledon Park                ,79,0
129,500,Acton Town                    ,770,Wood Green                    ,15,0
130,500,Acton Town                    ,599,Wood Lane                     ,36,0
131,502,Aldgate                       ,500,Acton Town                    ,0,2
132,502,Aldgate                       ,506,Amersham                      ,0,2
133,502,Aldgate                       ,507,Angel                         ,14,30
134,502,Aldgate                       ,508,Archway                       ,0,4
135,502,Aldgate                       ,509,Arnos Grove                   ,0,14
137,502,Aldgate                       ,511,Baker Street                  ,124,134
139,502,Aldgate                       ,513,Bank / Monument               ,0,7
140,502,Aldgate                       ,501,Barbican                      ,149,56
141,502,Aldgate                       ,517,Bayswater                     ,0,9
142,502,Aldgate                       ,519,Belsize Park                  ,0,7
143,502,Aldgate                       ,520,Bethnal Green                 ,2,4
144,502,Aldgate                       ,521,Blackfriars                   ,0,39
145,502,Aldgate                       ,522,Blackhorse Road               ,0,41
146,502,Aldgate                       ,524,Bond Street                   ,8,23
149,502,Aldgate                       ,532,Burnt Oak                     ,0,72
150,502,Aldgate                       ,534,Caledonian Road               ,5,0
151,502,Aldgate                       ,535,Camden Town                   ,0,26
152,502,Aldgate                       ,536,Cannon Street                 ,0,62
153,502,Aldgate                       ,537,Canons Park                   ,0,19
154,502,Aldgate                       ,539,Chalfont & Latimer            ,8,41
155,502,Aldgate                       ,540,Chalk Farm                    ,0,20
158,502,Aldgate                       ,543,Chesham                       ,0,132
159,502,Aldgate                       ,546,Chorleywood                   ,0,5
160,502,Aldgate                       ,547,Clapham Common                ,0,40
161,502,Aldgate                       ,550,Cockfosters                   ,0,7
162,502,Aldgate                       ,551,Colindale                     ,0,8
163,502,Aldgate                       ,552,Colliers Wood                 ,0,90
164,502,Aldgate                       ,553,Covent Garden                 ,2,0
165,502,Aldgate                       ,554,Croxley                       ,1,6
166,502,Aldgate                       ,558,Dollis Hill                   ,0,53
167,502,Aldgate                       ,560,Ealing Broadway               ,0,119
168,502,Aldgate                       ,562,Earl's Court                  ,0,5
169,502,Aldgate                       ,565,East Finchley                 ,2,63
170,502,Aldgate                       ,564,Eastcote                      ,0,12
171,502,Aldgate                       ,568,Edgware                       ,0,4
172,502,Aldgate                       ,569,Edgware Road (Cir)            ,38,64
173,502,Aldgate                       ,570,Elephant & Castle             ,0,3
175,502,Aldgate                       ,572,Epping                        ,0,27
176,502,Aldgate                       ,574,Euston                        ,0,23
177,502,Aldgate                       ,575,Euston Square                 ,253,340
178,502,Aldgate                       ,577,Farringdon                    ,582,1001
179,502,Aldgate                       ,578,Finchley Central              ,0,3
180,502,Aldgate                       ,579,Finchley Road                 ,14,113
181,502,Aldgate                       ,580,Finsbury Park                 ,0,28
182,502,Aldgate                       ,582,Gants Hill                    ,0,25
184,502,Aldgate                       ,584,Golders Green                 ,0,13
185,502,Aldgate                       ,588,Great Portland Street         ,197,65
186,502,Aldgate                       ,590,Green Park                    ,0,13
187,502,Aldgate                       ,593,Hammersmith (Dis)             ,0,4
